"","nazev","typ","subtyp","long","lat","address"
"71","MUDr. Martina Raková s.r.o.","Zdravotnictví","Soukromá ordinace",16.678626,49.180002,"Langrova 818/4, 627 00 Brno-Slatina, Czechia"
"72","Dermatologie Řečkovice s.r.o.","Zdravotnictví","Soukromá ordinace",16.580953,49.247358,"Vránova 172, - poliklinika Řečkovice, 1. patro - ženské oddělení, 621 00 Brno-Brno-Řečkovice a Mokrá Hora, Czechia"
"73","MUDr. IVA LAMAČOVÁ","Zdravotnictví","Soukromá ordinace",16.624321,49.176284,"Černovická 2b, 617 00 Brno-Brno-jih, Czechia"
"74","PL Brno 24 s.r.o.","Zdravotnictví","Soukromá ordinace",16.553249,49.21849,"Dělnická 1222/53, 624 00 Brno-Komín, Czechia"
"75","MDDr. Michal Navrátil","Zdravotnictví","Soukromá ordinace",16.49573,49.163178,"Střelice 913, 664 47 Střelice, Czechia"
"76","PhDr. Barbora Procházková, DiS.","Zdravotnictví","Soukromá ordinace",16.433582,49.347929,"Purkyňova 279, 666 01 Tišnov-Tišnov 1, Czechia"
"77","MUDr. Patrícia Puklová","Zdravotnictví","Soukromá ordinace",16.590981,49.226061,"Bulharská 1320/29, 612 00 Brno-Brno-Královo Pole, Czechia"
"78","MDDr. Eva Stehlíková","Zdravotnictví","Soukromá ordinace",16.344193,49.160321,"května 9, 664 11 Zbýšov-Zbýšov u Brna, Czechia"
"79","MUDr. Renata Bukáčková s.r.o.","Zdravotnictví","Soukromá ordinace",16.553249,49.21849,"Dělnická 1222/53, 624 00 Brno-Komín, Czechia"
"80","MUDr. MARIE GRENAROVÁ","Zdravotnictví","Soukromá ordinace",16.640811,49.361213,"Vodní 5b, 678 01 Blansko-Blansko 1, Czechia"
"81","Mgr. LENKA KRMÍČKOVÁ","Zdravotnictví","Soukromá ordinace",16.611151,49.191417,"Masarykova 506/37, 602 00 Brno-Brno-střed, Czechia"
"82","Rehabilitace - Burianová, s. r. o.","Zdravotnictví","Soukromá ordinace",16.828721,49.137742,"Školní 535, 683 52 Křenovice-Křenovice u Slavkova, Czechia"
"83","Stomatologie pod věží, s.r.o.","Zdravotnictví","Soukromá ordinace",16.465032,49.069956,"Masarykovo nám. 64, 664 64 Dolní Kounice, Czechia"
"84","ZVEDENT s.r.o.","Zdravotnictví","Soukromá ordinace",16.758199,49.104343,"Komenského 77, 664 53 Újezd u Brna, Czechia"
"85","Mgr. MICHAELA KALÁBOVÁ","Zdravotnictví","Soukromá ordinace",16.597541,49.17317,"Vídeňská 297/99, 639 00 Brno-Brno-střed, Czechia"
"86","MUDr. Samuel Židek","Zdravotnictví","Soukromá ordinace",16.590981,49.226061,"Bulharská 1320/29, 612 00 Brno-Brno-Královo Pole, Czechia"
"87","MUDr. Zuzana Hogenbuchová","Zdravotnictví","Soukromá ordinace",16.613263,49.209113,"Martinkova 253/7, 602 00 Brno-sever, Czechia"
"88","Mgr. Jana Kracíková","Zdravotnictví","Soukromá ordinace",16.534918,49.3104,"Blanenská 982/15, 664 34 Kuřim, Czechia"
"89","Zdravotní středisko Křtiny s.r.o.","Zdravotnictví","Soukromá ordinace",16.742032,49.297327,"Křtiny 72, 679 05 Křtiny, Czechia"
"90","SALVEDIA s.r.o.","Zdravotnictví","Soukromá ordinace",16.534918,49.3104,"Blanenská 982/15, 664 34 Kuřim, Czechia"
"91","Kardio Elbl s.r.o.","Zdravotnictví","Soukromá ordinace",16.627194,49.223155,"Halasovo nám. 597/1, 638 00 Brno-sever, Czechia"
"92","MUDr. Jana Kremlová","Zdravotnictví","Soukromá ordinace",16.583675,49.241308,"Banskobystrická 657/131, 621 00 Brno-Řečkovice a Mokrá Hora, Czechia"
"93","Ultrazvuk-Sonografie prof. Hepa s.r.o.","Zdravotnictví","Soukromá ordinace",16.573117,49.177888,"Kamenice 811 /32, 625 00 Brno-Brno-Bohunice, Czechia"
"94","MALÉ ZDRAVÍ a.s.","Zdravotnictví","Soukromá ordinace",16.678626,49.180002,"Langrova 818/4, 627 00 Brno-Slatina, Czechia"
"95","MOJE AMBULANCE a.s.","Zdravotnictví","Soukromá ordinace",16.659927,49.205883,"Pálavské nám. 4387/15, 628 00 Brno-Vinohrady, Czechia"
"96","MUDr. Marcela Kudláčová","Zdravotnictví","Soukromá ordinace",16.590981,49.226061,"Bulharská 1320/29, 612 00 Brno-Brno-Královo Pole, Czechia"
"97","MediRehapo, s.r.o.","Zdravotnictví","Soukromá ordinace",17.006156,49.147888,"Dvorská 514, 685 01 Bučovice, Czechia"
"98","PremaQ s.r.o.","Zdravotnictví","Soukromá ordinace",16.6113,49.193075,"Františkánská ulice 13, 602 00 Brno-střed, Czechia"
